clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
Logit,ADASYN,haberman_70,0.648355076,0.5595,0.781304348,0.593246569,0.654943346,0.354717282,0.670402174,0.690307692,0.105404926,0.128165269,0.076505131,0.107636362,0.08648846,0.157301358,0.077276945,0.071630647,1.504337716
Logit,AMSCO,haberman_70,0.518950783,0.761625,0.435652174,0.593271239,0.484407807,0.226991427,0.598638587,0.569384615,0.094737388,0.141377217,0.220270507,0.074864846,0.187377311,0.193262546,0.086984689,0.10569638,518.9338511
Logit,Borderline_smote,haberman_70,0.630164906,0.577375,0.756782609,0.594860097,0.654409641,0.343918626,0.667078804,0.683179487,0.093964461,0.130697068,0.075998871,0.101041765,0.080918851,0.147520669,0.07321777,0.066962381,1.808431768
Logit,EditedNearestNeighbours,haberman_70,0.547968695,0.72375,0.554782609,0.611649734,0.611743155,0.286972361,0.639266304,0.624102564,0.074510306,0.141684659,0.115840302,0.082819323,0.085710736,0.15320346,0.074338678,0.074038809,0.815675807
Logit,Lee,haberman_70,0.668953755,0.537625,0.809652174,0.588363725,0.652969518,0.366852532,0.673638587,0.698051282,0.117000424,0.135323249,0.073812946,0.117790018,0.093183912,0.166102291,0.080309029,0.073327739,17.23264797
Logit,NRAS,haberman_70,0.687510933,0.48275,0.845217391,0.558900128,0.631056376,0.357640376,0.663983696,0.696512821,0.130014357,0.142736617,0.072428614,0.132390167,0.10470238,0.172403289,0.082880866,0.074879744,1.262381649
Logit,NearMiss,haberman_70,0.676122188,0.56,0.813043478,0.606237957,0.668626377,0.389239914,0.686521739,0.709230769,0.103513226,0.143085358,0.068346179,0.118704038,0.094296452,0.160663484,0.080115626,0.072057551,1.110888624
Logit,ProWSyn,haberman_70,0.679177701,0.526625,0.822086957,0.585625588,0.65146117,0.371382901,0.674355978,0.700871795,0.117579538,0.133251146,0.073667965,0.115774954,0.091507144,0.160878403,0.077479815,0.07067978,2.733033109
Logit,RandomOverSampler,haberman_70,0.669542183,0.535875,0.810608696,0.587644675,0.652465961,0.366313735,0.673241848,0.697897436,0.118497342,0.133615897,0.074462479,0.117913091,0.093447796,0.167226736,0.080697531,0.073962318,0.659398293
Logit,RandomUnderSampler,haberman_70,0.663132348,0.537625,0.805217391,0.585873361,0.65099073,0.361266572,0.671421196,0.695435897,0.110088714,0.134560995,0.069029749,0.115911509,0.092202141,0.162112507,0.079213127,0.071921917,0.642197371
Logit,SMOTE,haberman_70,0.674312829,0.53125,0.81826087,0.586548421,0.652365478,0.370107669,0.674755435,0.700512821,0.109278834,0.138895194,0.075883418,0.119125453,0.094716022,0.15778738,0.077664621,0.069894323,0.785954499
Logit,Smote_tomek,haberman_70,0.668437825,0.53375,0.810434783,0.585870762,0.651292302,0.364069956,0.672092391,0.696923077,0.119283617,0.130674361,0.078903315,0.112921949,0.089725068,0.162715878,0.077916566,0.072050931,1.532752299
Logit,Tomek,haberman_70,0.726300533,0.3725,0.899130435,0.482972353,0.570463519,0.32840048,0.635815217,0.683076923,0.144671488,0.117028703,0.061472675,0.120967139,0.095485697,0.152842291,0.067210886,0.061319232,1.123379803
Logit,kmeans_SMOTE,haberman_70,0.685051622,0.5,0.834695652,0.568854183,0.638703639,0.362227436,0.667347826,0.697384615,0.104523432,0.132781071,0.067956592,0.113627567,0.090803172,0.147120695,0.072860957,0.065269772,14.24837596
Logit,lvq_smote,haberman_70,0.669647773,0.525125,0.815043478,0.579970947,0.646670222,0.361444943,0.670084239,0.696102564,0.110824172,0.135869497,0.067487806,0.117027003,0.092464838,0.157645852,0.076693282,0.068794961,8.513942719
Logit,polynom_fit_SMOTE,haberman_70,0.550658209,0.71,0.585217391,0.613687536,0.634770772,0.298156999,0.647608696,0.636410256,0.064253348,0.136825643,0.088707644,0.081955934,0.069099231,0.141542319,0.06998505,0.065464939,0.742185163
Logit,pure,haberman_70,0.74382523,0.34875,0.912173913,0.465241558,0.555608618,0.326319503,0.630461957,0.681025641,0.154335997,0.10504943,0.060252336,0.109920718,0.087904602,0.138394952,0.057807715,0.053033588,0.60162394
Random_forest,ADASYN,haberman_70,0.695535304,0.7375,0.765217391,0.709295314,0.746332836,0.505369885,0.751358696,0.753846154,0.083803129,0.101276939,0.085274689,0.067791184,0.058438343,0.11826858,0.058149334,0.057627501,16.52640176
Random_forest,AMSCO,haberman_70,0.671843174,0.7745,0.725130435,0.713141408,0.743891145,0.499971471,0.749815217,0.745384615,0.07321578,0.099656482,0.094613868,0.057759171,0.052952422,0.102174247,0.051477408,0.053241379,533.8089343
Random_forest,Borderline_smote,haberman_70,0.696995953,0.74375,0.764695652,0.713366215,0.749518724,0.51056108,0.754222826,0.756102564,0.089476888,0.093023729,0.090373391,0.066914814,0.058092959,0.11805519,0.057609726,0.05853257,16.95316195
Random_forest,EditedNearestNeighbours,haberman_70,0.595251181,0.860125,0.583565217,0.700095438,0.702669394,0.451606698,0.721845109,0.697025641,0.052172483,0.097319157,0.088031388,0.056598017,0.061030307,0.116476374,0.057160191,0.057323601,11.43756871
Random_forest,Lee,haberman_70,0.709528055,0.716,0.786695652,0.705842672,0.745473321,0.508305881,0.751347826,0.757692308,0.084099098,0.106840784,0.081516672,0.071433335,0.059926746,0.118269141,0.058476608,0.056637344,34.23699782
Random_forest,NRAS,haberman_70,0.74055268,0.61375,0.841391304,0.660919056,0.711700088,0.478161816,0.727570652,0.748,0.099487488,0.116668568,0.072171974,0.090155675,0.071864522,0.128544515,0.063203062,0.058372848,11.87503889
Random_forest,NearMiss,haberman_70,0.658069997,0.722125,0.725304348,0.679928376,0.716338676,0.451133318,0.723714674,0.724,0.089803474,0.116243873,0.102518537,0.074013141,0.067140331,0.12913242,0.064685016,0.065032982,15.75004809
Random_forest,ProWSyn,haberman_70,0.717145411,0.70675,0.79573913,0.704609406,0.744896868,0.509980198,0.751244565,0.759230769,0.090616097,0.104746784,0.083746157,0.072799944,0.060978015,0.121683666,0.059671433,0.058193828,18.59227674
Random_forest,RandomOverSampler,haberman_70,0.70748101,0.72425,0.782,0.709099445,0.747664195,0.510822937,0.753125,0.758307692,0.084737113,0.105795834,0.083174307,0.071194717,0.059697986,0.118239399,0.058413337,0.056856457,11.2390986
Random_forest,RandomUnderSampler,haberman_70,0.689910506,0.742125,0.758608696,0.709303205,0.745662241,0.502256747,0.750366848,0.751846154,0.077193798,0.097635667,0.081942513,0.063964775,0.056699556,0.111632178,0.055658959,0.055742302,11.13755662
Random_forest,SMOTE,haberman_70,0.710884506,0.706125,0.787565217,0.700249081,0.740152985,0.50146334,0.746845109,0.754153846,0.102618445,0.109726295,0.09444538,0.07857298,0.066165547,0.131958041,0.064304351,0.063767201,11.42350311
Random_forest,Smote_tomek,haberman_70,0.716743716,0.704625,0.796347826,0.704024546,0.744625058,0.507916496,0.750486413,0.758717949,0.087964358,0.10434195,0.084478505,0.069400431,0.057649156,0.111320832,0.055166517,0.053454276,16.3078805
Random_forest,Tomek,haberman_70,0.722821694,0.666,0.815565217,0.68600779,0.731746351,0.493562945,0.740782609,0.754205128,0.094264957,0.115521227,0.080171451,0.081367477,0.065992735,0.12548587,0.062137469,0.058125198,15.6563031
Random_forest,kmeans_SMOTE,haberman_70,0.731822721,0.660375,0.823391304,0.68608305,0.731944004,0.498018312,0.741883152,0.756512821,0.094665726,0.104956355,0.077679022,0.08003429,0.065418809,0.123495428,0.060920415,0.057704505,30.90161998
Random_forest,lvq_smote,haberman_70,0.718570692,0.662125,0.811043478,0.681179873,0.727423622,0.485201343,0.736584239,0.749948718,0.098559824,0.106862354,0.07852028,0.08374757,0.069200564,0.131688872,0.064896481,0.061874152,21.56414425
Random_forest,polynom_fit_SMOTE,haberman_70,0.727628869,0.688,0.811478261,0.700021407,0.742394778,0.510087515,0.74973913,0.760820513,0.098848377,0.115614808,0.08343623,0.081900694,0.067664319,0.134651739,0.065872868,0.063384997,12.26724179
Random_forest,pure,haberman_70,0.756173632,0.652875,0.844434783,0.691831348,0.736888278,0.517100898,0.748654891,0.765846154,0.104432901,0.112837186,0.078196669,0.086236817,0.070113389,0.134618993,0.065754127,0.062246607,11.0141036
SVM,ADASYN,haberman_70,0.683976721,0.4555,0.845652174,0.536560557,0.612843391,0.335847162,0.650576087,0.685589744,0.119084909,0.112913841,0.068324794,0.10603006,0.083384311,0.144696333,0.066870462,0.061666033,1.417600965
SVM,AMSCO,haberman_70,0.550009723,0.685,0.496173913,0.564605204,0.45228445,0.226705622,0.590586957,0.573641026,0.120554954,0.168102939,0.251413685,0.061376798,0.184953733,0.181908758,0.074006785,0.10027902,507.4072505
SVM,Borderline_smote,haberman_70,0.666081486,0.457375,0.829043478,0.529398464,0.605620388,0.318207349,0.643209239,0.676564103,0.11076134,0.118095644,0.074223277,0.102995377,0.081303109,0.133756517,0.062324327,0.056885661,1.706136417
SVM,EditedNearestNeighbours,haberman_70,0.623712622,0.60125,0.713043478,0.593462394,0.632183401,0.331316858,0.657146739,0.667179487,0.114143458,0.141078143,0.139947479,0.093411543,0.092256819,0.156237338,0.075730685,0.080466235,0.568776798
SVM,Lee,haberman_70,0.694828137,0.449,0.857130435,0.536707398,0.613431141,0.343515261,0.653065217,0.689692308,0.119880237,0.118222505,0.065521805,0.112034108,0.087706454,0.14655501,0.06842283,0.062286042,17.2594141
SVM,NRAS,haberman_70,0.716489797,0.444625,0.872608696,0.54036544,0.616337225,0.360158822,0.658616848,0.697025641,0.118533114,0.120170667,0.060524206,0.114700788,0.089398175,0.146082463,0.068650934,0.062067331,1.261002326
SVM,NearMiss,haberman_70,0.700459482,0.4875,0.849565217,0.566106857,0.636612476,0.369438213,0.668532609,0.701025641,0.119322169,0.127657948,0.071609645,0.119074992,0.09364444,0.155144225,0.074175755,0.067598372,0.909283829
SVM,ProWSyn,haberman_70,0.703767299,0.45075,0.862869565,0.541465699,0.617243222,0.352602669,0.656809783,0.693794872,0.124671178,0.117954328,0.064632081,0.113649556,0.08884608,0.151563852,0.070350449,0.064745817,2.797131586
SVM,RandomOverSampler,haberman_70,0.698847166,0.448125,0.860434783,0.537661864,0.614445887,0.346884368,0.654279891,0.691282051,0.115099969,0.114843677,0.061097381,0.108436789,0.084914951,0.141873788,0.0663623,0.06006321,0.570361733
SVM,RandomUnderSampler,haberman_70,0.696353242,0.4415,0.859130435,0.530853325,0.608366123,0.340019551,0.650315217,0.687794872,0.121144931,0.116707987,0.065455764,0.110385282,0.086164408,0.144143021,0.066395341,0.060268794,0.48441968
SVM,SMOTE,haberman_70,0.703225224,0.44,0.866956522,0.532243867,0.609992694,0.347431923,0.653478261,0.691794872,0.117945436,0.129112202,0.064151869,0.119750829,0.093691643,0.147976977,0.069898921,0.061668799,0.714133263
SVM,Smote_tomek,haberman_70,0.689407481,0.44375,0.855652174,0.531198331,0.609486794,0.336001319,0.649701087,0.686666667,0.118111127,0.121312243,0.065277311,0.114952989,0.090459464,0.1469183,0.069661513,0.063011782,1.428067684
SVM,Tomek,haberman_70,0.729820069,0.3875,0.897391304,0.49854285,0.582741887,0.340081561,0.642445652,0.688205128,0.143021185,0.120815187,0.060294784,0.126890524,0.099680715,0.157859964,0.070749767,0.064277774,0.924601555
SVM,kmeans_SMOTE,haberman_70,0.709185276,0.427125,0.870347826,0.524432145,0.603574938,0.342070689,0.648736413,0.688512821,0.126473623,0.112286067,0.069000757,0.110553762,0.086955181,0.145667361,0.067418736,0.062124331,13.71705997
SVM,lvq_smote,haberman_70,0.697265538,0.438375,0.862,0.530247656,0.608345472,0.339926512,0.6501875,0.688205128,0.128185256,0.116345062,0.068140477,0.113312068,0.088940063,0.150571016,0.06949574,0.063741179,7.803001952
SVM,polynom_fit_SMOTE,haberman_70,0.612190834,0.61,0.714782609,0.598894111,0.647496073,0.333478713,0.662391304,0.671794872,0.088857963,0.15248091,0.105049878,0.099819823,0.079222937,0.146251958,0.072738045,0.068348968,0.582888055
SVM,pure,haberman_70,0.73280575,0.36875,0.903478261,0.483869008,0.570960743,0.331427758,0.63611413,0.684102564,0.148625474,0.112822391,0.058141324,0.121966077,0.095717567,0.155488286,0.067896979,0.062397381,0.451611304
Xgboost,ADASYN,haberman_70,0.704693993,0.726875,0.780956522,0.710542576,0.749677144,0.510245574,0.753915761,0.758769231,0.08052621,0.103763448,0.080015459,0.07100077,0.060013779,0.116409753,0.058428919,0.056126463,2733.319436
Xgboost,AMSCO,haberman_70,0.691661372,0.759125,0.754608696,0.717306757,0.751984165,0.514420769,0.756866848,0.756461538,0.081752007,0.114997471,0.09332068,0.074835208,0.064421581,0.122248456,0.062102194,0.060044762,2609.364499
Xgboost,Borderline_smote,haberman_70,0.700122524,0.74225,0.770173913,0.715245367,0.752304243,0.513664832,0.756211957,0.758717949,0.085645062,0.104075569,0.086867582,0.073074922,0.063172142,0.124707945,0.06226578,0.060923817,1493.932573
Xgboost,EditedNearestNeighbours,haberman_70,0.58626598,0.87375,0.562608696,0.699008693,0.696583518,0.446629979,0.718179348,0.69025641,0.049795018,0.091004156,0.086497743,0.049249873,0.058596923,0.10600907,0.052867153,0.055182804,2244.882474
Xgboost,Lee,haberman_70,0.717745822,0.71425,0.796869565,0.710279942,0.750372875,0.516401681,0.755559783,0.762974359,0.086614959,0.11270731,0.083582742,0.078265998,0.065400482,0.122997925,0.062314454,0.058766973,2296.756809
Xgboost,NRAS,haberman_70,0.734157436,0.6145,0.838869565,0.661766736,0.712832758,0.473664863,0.726684783,0.746820513,0.100438583,0.113941485,0.069363019,0.092641466,0.073790267,0.136121946,0.066427707,0.061955182,2223.937168
Xgboost,NearMiss,haberman_70,0.649224861,0.75625,0.700869565,0.690499385,0.72080321,0.458907957,0.728559783,0.723589744,0.096104469,0.124280808,0.122540552,0.078917725,0.07241096,0.138332703,0.069676974,0.069942429,2247.620025
Xgboost,ProWSyn,haberman_70,0.719229757,0.718625,0.797217391,0.713231534,0.752883479,0.520891807,0.757921196,0.764974359,0.083534523,0.099747211,0.080842175,0.070617333,0.059640098,0.115024017,0.057474643,0.055990653,2481.197049
Xgboost,RandomOverSampler,haberman_70,0.710654466,0.725395833,0.786927536,0.71252792,0.751601385,0.515704526,0.756161685,0.761683761,0.083592514,0.104490784,0.081615233,0.073179412,0.062435505,0.121113919,0.060697854,0.059162817,1739.445561
