clf,imbl,dataset,precision,recall,specificity,fscore,gmean,mcc,balanced_acc,accuracy,std_precision,std_recall,std_specificity,std_fscore,std_gmean,std_mcc,std_balanced_acc,std_accuracy,time_exec
DecisionTree,lvq_smote,sonar_10,0.6105248677248677,0.688,0.949909090909091,0.6279174603174603,0.762511591324246,0.5952706676968156,0.8189545454545455,0.9280833333333334,0.1807128543716712,0.2560748310906872,0.0231914132164208,0.1560442746251236,0.2000009348364589,0.1937885414506811,0.1249887614962692,0.0246829431840385,34.90471978187561
DecisionTree,polynom_fit_SMOTE,sonar_10,0.6828962962962963,0.671,0.9627272727272728,0.6650560846560847,0.7566505532602554,0.6303993721549891,0.8168636363636363,0.9384166666666668,0.1777643907551668,0.2827991389008609,0.0204352763624348,0.1411637810192982,0.2137639583591879,0.1897016152232878,0.1357961703302606,0.0235887735720718,0.4015944957733152
DecisionTree,pure,sonar_10,0.7109804232804232,0.646,0.9702727272727272,0.6744571428571429,0.7397269280073171,0.631801518363033,0.8081363636363637,0.94325,0.2181857606216598,0.2842541343223984,0.0183296336399192,0.1744763138964757,0.232886324747419,0.2317830996364436,0.1412503584545774,0.0278250648400618,0.2952728033065794
ExtraTree,ADASYN,sonar_10,0.8743333333333334,0.637,0.9944545454545456,0.7140000000000001,0.7467863144123263,0.7243084537019666,0.8157272727272726,0.9646666666666668,0.1811884329203797,0.2982317892952947,0.0095028671027447,0.2315006545682568,0.2362829448753201,0.2276690661164609,0.1472764994084361,0.025591439171706,16.62814095020294
ExtraTree,AMSCO,sonar_10,0.8484333333333334,0.643,0.9899090909090912,0.7030761904761905,0.7483073919404661,0.7110560443686438,0.8164545454545454,0.961,0.1877016380587549,0.3116481971602934,0.0133896048118492,0.2223625209248977,0.2423261431975421,0.2200367322205953,0.1527730123896264,0.0234487350241585,3843.541773819924
ExtraTree,Borderline_smote,sonar_10,0.8498333333333333,0.6319999999999999,0.9907272727272728,0.6974074074074074,0.7450284762663253,0.7046160136454774,0.8113636363636363,0.9608333333333334,0.1906827575789767,0.2800921467066323,0.0140623477280194,0.2191944560823275,0.2191042819085939,0.2195747345340103,0.1390239117070493,0.0256186978947957,17.329681968688966
ExtraTree,EditedNearestNeighbours,sonar_10,0.9,0.584,1.0,0.6900000000000001,0.714063058585152,0.7056853671291186,0.792,0.9653333333333334,0.188936334400504,0.2775696909137084,0.0,0.2426043736823522,0.2361782238396352,0.2379201876867753,0.1387848454568542,0.0231308075761423,13.987490487098691
ExtraTree,Lee,sonar_10,0.8824666666666665,0.6399999999999999,0.9950909090909092,0.7200095238095239,0.7471319539099424,0.7299801570038614,0.8175454545454546,0.9655,0.1820751808057395,0.2989193117151129,0.0089127906188412,0.2272037740339235,0.2402212853932441,0.2256077915931868,0.1474647425668809,0.0250528460505127,154.90964546203614
ExtraTree,NRAS,sonar_10,0.4609999999999999,0.303,0.9936363636363638,0.3602,0.3765848832159155,0.3582153983153462,0.6483181818181818,0.9360833333333334,0.4338668761312106,0.3185076043140866,0.0101673727031704,0.3457235736952377,0.3692435291681338,0.3568178665100553,0.159189580540342,0.0283233600132744,15.59840292930603
ExtraTree,NearMiss,sonar_10,0.1727096037848124,0.8960000000000001,0.5198181818181818,0.2772145130003481,0.6470600701879291,0.2545038649078239,0.7079090909090909,0.5511666666666667,0.0588864124215169,0.1818973562692678,0.150745184367234,0.0770519057058465,0.1253567118402647,0.1120698838467923,0.0937059224214652,0.1318331484383761,14.937467050552367
